Entity,Year,Global average temperature anomaly relative to 1861-1890
Northern Hemisphere,1850,-0.055067
Northern Hemisphere,1851,0.1615803
Northern Hemisphere,1852,0.14512725
Northern Hemisphere,1853,0.13543713
Northern Hemisphere,1854,0.2061396
Northern Hemisphere,1855,0.13525501
Northern Hemisphere,1856,0.04728845
Northern Hemisphere,1857,-0.07056733
Northern Hemisphere,1858,0.022224907
Northern Hemisphere,1859,0.1330458
Northern Hemisphere,1860,-0.07820275
Northern Hemisphere,1861,-0.024383958
Northern Hemisphere,1862,-0.32068256
Northern Hemisphere,1863,0.07966859
Northern Hemisphere,1864,-0.08087095
Northern Hemisphere,1865,0.013526325
Northern Hemisphere,1866,0.007045571
Northern Hemisphere,1867,-0.024325486
Northern Hemisphere,1868,0.02238432
Northern Hemisphere,1869,0.13202271
Northern Hemisphere,1870,0.06868789
Northern Hemisphere,1871,-0.0600903
Northern Hemisphere,1872,0.023669574
Northern Hemisphere,1873,0.0053049666
Northern Hemisphere,1874,0.08709658
Northern Hemisphere,1875,-0.10289302
Northern Hemisphere,1876,-0.05413693
Northern Hemisphere,1877,0.27946702
Northern Hemisphere,1878,0.45204005
Northern Hemisphere,1879,0.044580672
Northern Hemisphere,1880,-0.0031684595
Northern Hemisphere,1881,0.09677938
Northern Hemisphere,1882,0.007850175
Northern Hemisphere,1883,-0.046234157
Northern Hemisphere,1884,-0.25363216
Northern Hemisphere,1885,-0.12880734
Northern Hemisphere,1886,-0.064637
Northern Hemisphere,1887,-0.11338975
Northern Hemisphere,1888,0.00838009
Northern Hemisphere,1889,0.12036339
Northern Hemisphere,1890,-0.14284292
Northern Hemisphere,1891,-0.031072702
Northern Hemisphere,1892,-0.19523093
Northern Hemisphere,1893,-0.17589429
Northern Hemisphere,1894,-0.061767455
Northern Hemisphere,1895,-0.06429144
Northern Hemisphere,1896,0.087389
Northern Hemisphere,1897,0.12926888
Northern Hemisphere,1898,-0.049617704
Northern Hemisphere,1899,0.047784124
Northern Hemisphere,1900,0.18289912
Northern Hemisphere,1901,0.16592212
Northern Hemisphere,1902,-0.079038374
